date,competition,status,teams,score
2026-03-31,World Cup Qualification UEFA 2nd Round,Fixture,FootballHockeyBasketballTennisCricket vs COMPETITIONS,20:45
2026-03-31,World Cup Qualification UEFA 2nd Round,Fixture,@20:45 vs Bosnia and Herzegovina,20:45
2026-03-31,World Cup Qualification UEFA 2nd Round,Fixture,@20:45 vs Czechia,20:45
2026-03-31,World Cup Qualification UEFA 2nd Round,Fixture,@20:45 vs Kosovo,20:45
2026-03-31,World Cup Qualification,Fixture,@20:45 vs Sweden,23:00
2026-03-31,UEFA Nations League,Fixture,@23:00 vs DR Congo,18:00
2026-03-31,UEFA Nations League,Fixture,@18:00 vs Latvia,18:00
2026-03-30,International Friendlies,FT,FootballHockeyBasketballTennisCricket vs COMPETITIONS vs Ghana,2
2026-03-30,Friendlies 2026,FT,Dominican Republic vs Cuba,1
2026-03-30,Friendlies 2026,FT,Cayman Islands vs Bahamas,1
2026-03-30,Friendlies 2026,FT,Bonaire vs Saint Martin,0
2026-03-30,Friendlies 2026,AP,Cape Verde vs Finland,1
2026-03-30,Friendlies 2026,FT,New Zealand vs Chile,4
2026-03-30,Friendlies 2026,FT,St. Kitts and Nevis vs Solomon Islands,4
2026-03-30,Friendlies 2026,AP,Gabon vs Trinidad and Tobago,2
2026-03-30,Friendlies 2026,FT,UAE vs Faroe Islands vs Indonesia vs Bulgaria,0
2026-03-30,Friendlies 2026,FT,Grenada vs Kenya,0
2026-03-30,Friendlies 2026,AP,Uzbekistan vs Venezuela,0
2026-03-30,Friendlies 2026,AP,Azerbaijan vs Sierra Leone,1
2026-03-30,Friendlies 2026,FT,Cyprus vs Moldova,3
2026-03-30,Friendlies 2026,FT,Rwanda vs Estonia,2
2026-03-30,Friendlies 2026,FT,Guyana vs Belize,3
2026-03-29,International Friendlies,FT,"FootballHockeyBasketballTennisCricket vs COMPETITIONS vs Sunday, 29 Mar vs Mexico vs Portugal",0
2026-03-29,International Friendlies,FT,Colombia,1
2026-03-29,Friendlies 2026,FT,Haiti vs Tunisia,0
2026-03-29,Friendlies 2026,FT,U.S. Virgin Islands vs Puerto Rico,2
2026-03-29,Friendlies 2026,FT,Lithuania vs Georgia,0
2026-03-29,Friendlies 2026,FT,Macao vs Tanzania,0
2026-03-29,Friendlies 2026,FT,Armenia vs Belarus,1
2026-03-29,Friendlies 2026,FT,Aruba vs Liechtenstein,4
2026-03-29,Friendlies 2026,FT,Martinique vs El Salvador,0
2026-03-29,Friendlies 2026,FT,Barbados vs Saint Vincent and The Grenadines,2
2026-03-29,Friendlies 2026,FT,British Virgin Islands vs Anguilla,4
